"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"13",0.1,11,0,0.7,1,1,100,9.62072425262576,0.896539538097559,6.93079346306062,0.102387750279209,0.00189342166533245,0.0341367714302181
"14",0.1,11,0,0.8,1,1,100,9.60756428403618,0.896819328777917,6.88756349690493,0.0856106451033176,0.00154466011060746,0.0265937125182246
"15",0.1,11,0,0.9,1,1,100,9.59565692203546,0.897077751125747,6.85470576017242,0.0972698141897333,0.00161838904260083,0.0231174520069125
"26",0.3,11,0,0.5,1,1,100,10.0102718286214,0.888040589488538,7.12334052218389,0.183984373203585,0.00372200078615575,0.0604203194569046
"27",0.3,11,0,0.6,1,1,100,9.99529934742308,0.888382717098781,7.11767374973226,0.106077395634011,0.0020558796125921,0.0509808060810279
"28",0.3,11,0,0.7,1,1,100,9.95215210636328,0.889374882459996,7.07154400293879,0.113207775331075,0.00216585272149612,0.0392317336320043
"29",0.3,11,0,0.8,1,1,100,9.96199696767381,0.889182884418938,7.02373476372703,0.141986370820029,0.00271509345511645,0.0412821111360841
"30",0.3,11,0,0.9,1,1,100,9.96749779369268,0.889075092696521,7.00313749693261,0.0993132115674513,0.00187322661719592,0.0350199221227807
"41",0.5,11,0,0.5,1,1,100,10.5594047241769,0.875889376222921,7.48352039386488,0.160475456489806,0.00384754070881403,0.0932257119676446
"42",0.5,11,0,0.6,1,1,100,10.5671375737559,0.875731212663579,7.47983410429076,0.0970793092286137,0.0026297219074487,0.0682759742891612
"43",0.5,11,0,0.7,1,1,100,10.5821057364357,0.875424812843778,7.45941810109104,0.196772826370376,0.0040755188466892,0.0928418572547629
"44",0.5,11,0,0.8,1,1,100,10.5760455008812,0.875547658990196,7.44151528906147,0.143203359526496,0.00318041946677539,0.0673031535310333
"45",0.5,11,0,0.9,1,1,100,10.5645927982202,0.875926939341588,7.39711864137957,0.106350983332082,0.00200352843503741,0.0469033793706013
